S.L,Name,Number,Address,Age,Religion,Status,Qualification
1,Amit Roy,DEMO-0001,Kolkata,18,Hindu,A,HS
2,Suman Roy,DEMO-0002,Murshidabad,19,Muslim,A,HS
3,Rahul Roy,DEMO-0003,Jangipur,20,Christian,B,Madhyamik
4,Rohit Roy,DEMO-0004,Berhampore,21,Other,A,Graduate
5,Ankit Roy,DEMO-0005,Raghunathganj,22,Hindu,C,HS
6,Arjun Roy,DEMO-0006,Malda,23,Muslim,A,HS
7,Vikash Roy,DEMO-0007,Nadia,24,Christian,A,HS
8,Sourav Roy,DEMO-0008,Howrah,25,Other,B,Madhyamik
9,Subhajit Roy,DEMO-0009,Hooghly,26,Hindu,A,Graduate
10,Surojit Roy,DEMO-0010,Bardhaman,27,Muslim,C,HS
11,Bishal Roy,DEMO-0011,Kolkata,28,Christian,A,HS
12,Debashis Roy,DEMO-0012,Murshidabad,29,Other,A,HS
13,Abhishek Roy,DEMO-0013,Jangipur,30,Hindu,B,Madhyamik
14,Pradip Roy,DEMO-0014,Berhampore,31,Muslim,A,Graduate
15,Raj Roy,DEMO-0015,Raghunathganj,32,Christian,C,HS
16,Rakesh Roy,DEMO-0016,Malda,33,Other,A,HS
17,Sumit Roy,DEMO-0017,Nadia,34,Hindu,A,HS
18,Kunal Roy,DEMO-0018,Howrah,35,Muslim,B,Madhyamik
19,Tapan Roy,DEMO-0019,Hooghly,36,Christian,A,Graduate
20,Bikram Roy,DEMO-0020,Bardhaman,37,Other,C,HS
21,Puja Roy,DEMO-0021,Kolkata,38,Hindu,A,HS
22,Priya Roy,DEMO-0022,Murshidabad,39,Muslim,A,HS
23,Riya Roy,DEMO-0023,Jangipur,40,Christian,B,Madhyamik
24,Moumita Roy,DEMO-0024,Berhampore,41,Other,A,Graduate
25,Sneha Roy,DEMO-0025,Raghunathganj,42,Hindu,C,HS
26,Ananya Roy,DEMO-0026,Malda,43,Muslim,A,HS
27,Payel Roy,DEMO-0027,Nadia,44,Christian,A,HS
28,Sonia Roy,DEMO-0028,Howrah,45,Other,B,Madhyamik
29,Tania Roy,DEMO-0029,Hooghly,46,Hindu,A,Graduate
30,Rupali Roy,DEMO-0030,Bardhaman,47,Muslim,C,HS
31,Amit Ghosh,DEMO-0031,Kolkata,48,Christian,A,HS
32,Suman Ghosh,DEMO-0032,Murshidabad,49,Other,A,HS
33,Rahul Ghosh,DEMO-0033,Jangipur,50,Hindu,B,Madhyamik
34,Rohit Ghosh,DEMO-0034,Berhampore,51,Muslim,A,Graduate
35,Ankit Ghosh,DEMO-0035,Raghunathganj,52,Christian,C,HS
36,Arjun Ghosh,DEMO-0036,Malda,53,Other,A,HS
37,Vikash Ghosh,DEMO-0037,Nadia,54,Hindu,A,HS
38,Sourav Ghosh,DEMO-0038,Howrah,55,Muslim,B,Madhyamik
39,Subhajit Ghosh,DEMO-0039,Hooghly,56,Christian,A,Graduate
40,Surojit Ghosh,DEMO-0040,Bardhaman,57,Other,C,HS
41,Bishal Ghosh,DEMO-0041,Kolkata,58,Hindu,A,HS
42,Debashis Ghosh,DEMO-0042,Murshidabad,59,Muslim,A,HS
43,Abhishek Ghosh,DEMO-0043,Jangipur,60,Christian,B,Madhyamik
44,Pradip Ghosh,DEMO-0044,Berhampore,18,Other,A,Graduate
45,Raj Ghosh,DEMO-0045,Raghunathganj,19,Hindu,C,HS
46,Rakesh Ghosh,DEMO-0046,Malda,20,Muslim,A,HS
47,Sumit Ghosh,DEMO-0047,Nadia,21,Christian,A,HS
48,Kunal Ghosh,DEMO-0048,Howrah,22,Other,B,Madhyamik
49,Tapan Ghosh,DEMO-0049,Hooghly,23,Hindu,A,Graduate
50,Bikram Ghosh,DEMO-0050,Bardhaman,24,Muslim,C,HS
51,Puja Ghosh,DEMO-0051,Kolkata,25,Christian,A,HS
52,Priya Ghosh,DEMO-0052,Murshidabad,26,Other,A,HS
53,Riya Ghosh,DEMO-0053,Jangipur,27,Hindu,B,Madhyamik
54,Moumita Ghosh,DEMO-0054,Berhampore,28,Muslim,A,Graduate
55,Sneha Ghosh,DEMO-0055,Raghunathganj,29,Christian,C,HS
56,Ananya Ghosh,DEMO-0056,Malda,30,Other,A,HS
57,Payel Ghosh,DEMO-0057,Nadia,31,Hindu,A,HS
58,Sonia Ghosh,DEMO-0058,Howrah,32,Muslim,B,Madhyamik
59,Tania Ghosh,DEMO-0059,Hooghly,33,Christian,A,Graduate
60,Rupali Ghosh,DEMO-0060,Bardhaman,34,Other,C,HS
61,Amit Das,DEMO-0061,Kolkata,35,Hindu,A,HS
62,Suman Das,DEMO-0062,Murshidabad,36,Muslim,A,HS
63,Rahul Das,DEMO-0063,Jangipur,37,Christian,B,Madhyamik
64,Rohit Das,DEMO-0064,Berhampore,38,Other,A,Graduate
65,Ankit Das,DEMO-0065,Raghunathganj,39,Hindu,C,HS
66,Arjun Das,DEMO-0066,Malda,40,Muslim,A,HS
67,Vikash Das,DEMO-0067,Nadia,41,Christian,A,HS
68,Sourav Das,DEMO-0068,Howrah,42,Other,B,Madhyamik
69,Subhajit Das,DEMO-0069,Hooghly,43,Hindu,A,Graduate
70,Surojit Das,DEMO-0070,Bardhaman,44,Muslim,C,HS
71,Bishal Das,DEMO-0071,Kolkata,45,Christian,A,HS
72,Debashis Das,DEMO-0072,Murshidabad,46,Other,A,HS
73,Abhishek Das,DEMO-0073,Jangipur,47,Hindu,B,Madhyamik
74,Pradip Das,DEMO-0074,Berhampore,48,Muslim,A,Graduate
75,Raj Das,DEMO-0075,Raghunathganj,49,Christian,C,HS
